date,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,Max kPH (1.85),maximum_pressure,Velocity,damage ratio
8/21/1992 12:00,,TS,24.4,-64.2,50,92.5,1007,0.002808989,2.21641E-08
8/21/1992 18:00,,TS,24.8,-64.9,50,92.5,1004,0.002808989,2.21641E-08
8/22/1992 0:00,,TS,25.3,-65.9,55,101.75,1000,0.054775281,0.000164317
8/22/1992 6:00,,HU,25.6,-67,65,120.25,994,0.158707865,0.003981646
8/22/1992 12:00,,HU,25.8,-68.3,80,148,981,0.314606742,0.030198605
8/22/1992 18:00,,HU,25.7,-69.7,95,175.75,969,0.470505618,0.09433287
8/23/1992 0:00,,HU,25.6,-71.1,110,203.5,961,0.626404494,0.197296635
8/23/1992 6:00,,HU,25.5,-72.5,130,240.5,947,0.834269663,0.36735151
8/23/1992 12:00,,HU,25.4,-74.2,145,268.25,933,0.990168539,0.492590461
8/23/1992 18:00,,HU,25.4,-75.8,150,277.5,922,1.042134831,0.530914016
8/23/1992 21:00,L,HU,25.4,-76.6,140,259,923,0.938202247,0.452303171
8/24/1992 0:00,,HU,25.4,-77.5,125,231.25,930,0.782303371,0.323761648
8/24/1992 1:00,L,HU,25.4,-77.8,130,240.5,931,0.834269663,0.36735151
8/24/1992 6:00,,HU,25.4,-79.3,130,240.5,937,0.834269663,0.36735151
8/24/1992 8:40,L,HU,25.5,-80.2,145,268.25,926,0.990168539,0.492590461
8/24/1992 9:05,L,HU,25.5,-80.3,145,268.25,922,0.990168539,0.492590461
8/24/1992 12:00,,HU,25.6,-81.2,115,212.75,951,0.678370787,0.237907903
8/24/1992 18:00,,HU,25.8,-83.1,115,212.75,947,0.678370787,0.237907903
8/25/1992 0:00,,HU,26.2,-85,115,212.75,943,0.678370787,0.237907903
8/25/1992 6:00,,HU,26.6,-86.7,115,212.75,948,0.678370787,0.237907903
8/25/1992 12:00,,HU,27.2,-88.2,120,222,946,0.730337079,0.280345735
8/25/1992 18:00,,HU,27.8,-89.6,125,231.25,941,0.782303371,0.323761648
8/26/1992 0:00,,HU,28.5,-90.5,125,231.25,937,0.782303371,0.323761648
8/26/1992 6:00,,HU,29.2,-91.3,120,222,955,0.730337079,0.280345735
8/26/1992 8:30,L,HU,29.6,-91.5,100,185,956,0.52247191,0.124820514
8/26/1992 12:00,,HU,30.1,-91.7,80,148,973,0.314606742,0.030198605
8/26/1992 18:00,,TS,30.9,-91.6,50,92.5,991,0.002808989,2.21641E-08
8/27/1992 0:00,,TS,31.5,-91.1,35,64.75,995,0,0
8/27/1992 6:00,,TD,32.1,-90.5,30,55.5,997,0,0
8/27/1992 12:00,,TD,32.8,-89.6,30,55.5,998,0,0
8/27/1992 18:00,,TD,33.6,-88.4,25,46.25,999,0,0
8/28/1992 0:00,,TD,34.4,-86.7,20,37,1000,0,0
8/28/1992 6:00,,TD,35.4,-84,20,37,1000,0,0
