State,County,NS_events,H_events,MH_events,NS_climo,H_climo,MH_climo,NS_current,H_current,MH_current
Florida,Escambia,79%,32%,11.0%,37%,17%,6%,53,26,10
Florida,Santa Rosa,70%,30%,9.0%,34%,16%,5%,48,25,8
Florida,Okaloosa,73%,30%,9.0%,35%,16%,5%,50,25,8
Florida,Walton,74%,32%,10.0%,35%,17%,6%,50,26,9
Florida,Bay,76%,35%,9.0%,36%,19%,5%,51,28,8
Florida,Gulf,80%,33%,6.0%,38%,18%,3%,53,27,6
Florida,Franklin,79%,31%,6.0%,37%,17%,3%,53,25,6
Florida,Wakulla,69%,27%,4.0%,34%,15%,2%,48,23,4
Florida,Jefferson,69%,21%,1.0%,34%,12%,1%,48,18,1
Florida,Taylor,71%,24%,2.0%,34%,13%,1%,49,20,2
Florida,Dixie,71%,24%,2.0%,34%,13%,1%,49,20,2
Florida,Levy,72%,28%,4.0%,35%,15%,2%,49,23,4
Florida,Citrus,73%,34%,4.0%,35%,18%,2%,50,28,4
Florida,Hernando,70%,33%,6.0%,34%,18%,3%,48,27,6
Florida,Pasco,73%,32%,7.0%,35%,17%,4%,50,26,6
Florida,Pinellas,74%,31%,10.0%,35%,17%,6%,50,25,9
Florida,Manatee,78%,34%,12.0%,37%,18%,7%,52,28,11
Florida,Sarasota,76%,30%,13.0%,36%,16%,7%,51,25,12
Florida,Charlotte,79%,31%,16.0%,37%,17%,9%,53,25,14
Florida,Lee,84%,32%,19.0%,39%,17%,11%,55,26,16
Florida,Collier,91%,40%,21.0%,42%,21%,12%,58,32,18
Florida,Monroe,124%,60%,26.0%,52%,30%,14%,69,43,22
Florida,Miami-Dade,94%,44%,22.0%,43%,23%,12%,59,34,19
Florida,Broward,94%,43%,18.0%,43%,22%,10%,59,33,16
Florida,Palm Beach,96%,42%,16.0%,43%,22%,9%,60,33,14
Florida,Martin,85%,35%,13.0%,40%,19%,7%,55,28,12
Florida,St. Lucie,80%,32%,11.0%,38%,17%,6%,53,26,10
Florida,Indian River,81%,34%,12.0%,38%,18%,7%,54,28,11
Florida,Brevard,93%,33%,10.0%,42%,18%,6%,59,27,9
Florida,Volusia,86%,33%,5.0%,40%,18%,3%,56,27,5
Florida,Flagler,75%,28%,5.0%,36%,15%,3%,51,23,5
Florida,St. Johns,82%,27%,7.0%,38%,15%,4%,54,23,6
Florida,Duval,84%,28%,7.0%,39%,15%,4%,55,23,6
Florida,Nassau,86%,25%,7.0%,40%,14%,4%,56,21,6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
