,County,Median Home Price Q1 2021,,
1,Alachua,"$237,288 ",,
2,Baker,"$151,241 ",,
3,Bay,"$220,032 ",,
4,Bradford,"$120,402 ",,
5,Bevard,"$252,790 ",,
6,Broward,"$327,349 ",,
7,Calhoun,"$92,366 ",,
8,Charlotte,"$250,482 ",,
9,Citrus,"$169,954 ",,
10,Cla,"$233,558 ",,
11,Collier,"$401,446 ",,
12,Columbia,"$175,713 ",,
13,DeSoto,"$95,300 ",,
14,Dixie,"$85,303 ",,
15,Duval,"$226,045 ",,
16,Escambia,"$194,925 ",,
17,Franklin,"$180,386 ",,
18,Gadsden,"$103,279 ",,
19,Gilchrist,"$113,344 ",,
20,Glades,"$83,347 ",,
21,Gulf,"$174,626 ",,
22,Hamilton,"$87,041 ",,
23,Hardee,"$90,627 ",,
24,Hendry,"$102,689 ",,
25,Hernando,"$192,135 ",,
26,Highlands,"$157,457 ",,
27,Hillsborough,"$272,517 ",,
28,Holmes,"$100,733 ",,
29,Indian River,"$262,291 ",,
30,Jackson,"$107,579 ",,
31,Jefferson,"$142,436 ",,
32,Lafayette,"$113,773 ",,
33,Lake,"$242,017 ",,
34,Lee,"$268,314 ",,
35,Leon,"$241,021 ",,
36,Levy,"$114,860 ",,
37,Liberty,"$81,608 ",,
38,Madison,"$96,821 ",,
39,Manatee,"$300,807 ",,
40,Marion,"$179,292 ",,
41,Martin,"$340,082 ",,
42,Miami-Dade,"$360,149 ",,
43,Monroe,"$614,398 ",,
44,Nassau,"$266,550 ",,
45,Okaloosa,"$270,401 ",,
46,Okeechobee,"$115,186 ",,
47,Orange,"$288,408 ",,
48,Osceola,"$250,343 ",,
49,Palm Beach,"$339,226 ",,
50,Pasco,"$214,575 ",,
51,Pinellas,"$258,339 ",,
52,Polk,"$196,031 ",,
53,Putnam,"$109,101 ",,
54,St. Johns,"$368,792 ",,
55,St. Lucie,"$249,703 ",,
56,Santa Rosa,"$248,977 ",,
57,Sarasota,"$304,351 ",,
58,Seminole,"$299,331 ",,
59,Sumter,"$306,438 ",,
60,Suwannee,"$110,079 ",,
61,Taylor,"$92,475 ",,
62,Union,"$128,661 ",,
63,Volusia,"$228,766 ",,
64,Wakulla,"$153,639 ",,
65,Walton,"$265,362 ",,
66,Washington,"$123,010 ",,
